epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9712885022163391,0.0861736610531807,0.973633348941803,0.9697129130363464,0.4061068594455719,2.4131290912628174,0.4078125059604645,0.3984732925891876
1,0.9789915680885315,0.06679873913526535,0.9801719784736633,0.9779411554336548,0.7389312982559204,0.9968969225883484,0.7790507078170776,0.7267175316810608
2,0.9854691624641418,0.04862290993332863,0.9864959716796875,0.9847689270973206,0.847328245639801,0.5338867902755737,0.8616352081298828,0.8366411924362183
3,0.9849439859390259,0.05531860888004303,0.9856216311454773,0.9840686321258545,0.8351144790649414,0.5893073678016663,0.8546326160430908,0.8167939186096191
4,0.9742646813392639,0.0840989500284195,0.9756054878234863,0.9732142686843872,0.9068702459335327,0.2940152585506439,0.9147287011146545,0.9007633328437805
5,0.9861694574356079,0.04442266374826431,0.9870288968086243,0.9858193397521973,0.9755725264549255,0.09058181196451187,0.9770641922950745,0.9755725264549255
6,0.988095223903656,0.03962985426187515,0.9886084794998169,0.98757004737854,0.9557251930236816,0.242758110165596,0.9557251930236816,0.9557251930236816
7,0.9877451062202454,0.04090896621346474,0.98826003074646,0.9873949289321899,0.9343511462211609,0.22083978354930878,0.9385560750961304,0.932824432849884
8,0.982492983341217,0.05722503736615181,0.9835174679756165,0.9819678068161011,0.9496183395385742,0.2219671607017517,0.955315887928009,0.9465649127960205
9,0.9896708726882935,0.03451564908027649,0.990531325340271,0.9889705777168274,0.9603053331375122,0.21200866997241974,0.9617151618003845,0.9587786197662354
